progressionId,classId
17730,21
17733,21
17868,22
17871,22
17874,22
17877,22
17880,22
17883,22
17886,22
17889,22
17892,22
17895,22
17898,22
17901,22
17904,22
17907,22
17910,22
17913,22
17916,22
17919,22
17922,22
17925,22
17928,22
17931,22
17934,22
17937,22
17940,22
17943,22
17946,22
18042,25
18045,25
18048,25
18051,25
18054,25
18057,25
18060,25
18063,25
18066,25
18947,21
19274,26
19277,26
19280,26
19283,26
19286,19
19286,134
19289,19
19289,134
19292,19
19292,134
19295,19
19295,134
19298,19
19298,134
19301,19
19301,134
19304,19
19304,134
19307,19
19307,134
19310,19
19310,134
19313,19
19313,134
19316,19
19316,134
19319,20
19322,20
19325,20
19328,20
19331,20
19334,20
19337,20
19340,20
19343,20
19346,20
19349,20
19352,20
19355,20
19358,20
19361,20
19364,20
19367,20
19370,20
19373,20
19376,23
19379,23
19382,23
19385,23
19388,23
19391,23
19394,23
19397,23
19400,23
19403,23
19406,23
19409,23
19412,23
19415,23
19418,23
19421,23
19424,24
19427,24
19430,24
19433,24
19436,24
19439,24
19442,24
19445,24
19448,24
19451,24
19454,24
19457,24
19460,24
19463,24
19466,24
19979,27
19988,27
19991,27
19994,27
19997,27
20000,27
20003,27
20006,27
20567,26
20570,26
20573,26
20576,26
20579,26
20582,26
20585,26
20588,26
20591,26
20594,26
20597,26
20600,26
20603,26
20606,26
20609,26
20612,26
20615,26
20618,26
20621,26
20624,26
20627,26
20630,26
20633,26
20636,26
20639,26
20642,26
20645,26
20648,26
20651,26
20654,26
20657,26
20660,26
20663,26
20666,26
20669,26
20672,26
20675,26
20678,26
20681,26
20684,26
20687,26
20690,26
20693,26
20696,26
20699,26
20702,26
20705,26
20708,26
20711,26
20714,26
20717,26
20720,26
20723,26
20726,26
20729,26
20732,26
20735,26
20738,26
20741,26
20744,26
20747,26
20750,26
20753,26
20756,26
20759,26
20762,26
20765,26
20768,26
20771,26
20774,26
20777,26
20780,26
20783,26
20786,26
20789,26
20792,26
20795,26
20798,26
20801,26
20804,26
20807,26
20810,26
20813,26
20816,26
20819,26
20822,26
20825,26
20828,26
20831,26
20834,26
20837,26
20840,26
20843,26
20846,26
20849,26
20852,26
20855,26
20858,26
20861,26
20864,26
20867,26
20870,26
20873,26
20876,26
20879,26
20882,26
20885,26
20888,26
20891,26
20894,26
20897,26
20900,26
20903,26
20906,26
20909,26
20912,26
20915,26
20918,26
20921,26
20924,26
20927,26
20930,26
20933,26
20936,26
20939,26
20942,26
20945,26
20948,26
20951,26
20954,26
20957,26
20960,26
20963,26
20966,26
20969,26
20972,26
20975,26
20978,26
20981,26
20984,26
20987,26
20990,26
20993,26
20996,26
20999,26
21002,26
21005,26
21008,26
21011,26
21014,26
21017,26
21020,26
21023,26
21026,26
21029,26
21032,26
21035,26
21038,26
21041,26
21044,26
21047,19
21047,134
21050,19
21050,134
21053,19
21053,134
21056,19
21056,134
21059,19
21059,134
21062,19
21062,134
21065,19
21065,134
21068,19
21068,134
21071,19
21071,134
21074,19
21074,134
21077,19
21077,134
21080,19
21080,134
21083,19
21083,134
21086,19
21086,134
21089,19
21089,134
21092,19
21092,134
21095,19
21095,134
21098,19
21098,134
21101,19
21101,134
21104,19
21104,134
21107,20
21110,20
21113,20
21116,20
21119,20
21122,20
21125,20
21128,20
21131,20
21134,20
21137,20
21140,20
21143,20
21146,20
21149,20
21152,20
21155,20
21158,20
21161,20
21164,20
21167,23
21170,23
21173,23
21176,23
21179,23
21182,23
21185,23
21188,23
21191,23
21194,23
21197,23
21200,23
21203,23
21206,23
21209,23
21212,23
21215,23
21218,24
21221,24
21224,24
21227,24
21230,24
21233,24
21236,24
21239,24
21242,24
21245,24
21248,24
21251,24
21254,24
21257,24
21260,24
21263,24
21266,24
21269,27
21272,27
21275,27
21278,27
21281,27
21284,27
21287,27
21290,27
21293,27
21296,27
21299,27
21302,27
21305,27
21308,27
21311,27
21314,27
21317,27
21320,27
21323,27
21326,27
21329,1
21329,2
21329,3
21329,4
21329,5
21329,6
21329,7
21329,8
21329,9
21329,10
21329,11
21329,12
21329,13
21329,14
21329,15
21329,16
21329,28
21329,29
21329,30
21329,31
21329,32
21329,33
21329,34
21329,35
21329,36
21329,37
21329,38
21329,39
21329,40
21329,41
21329,42
21329,43
21329,44
21329,45
21329,46
21329,47
21329,48
21329,49
21329,50
21329,51
21329,52
21329,53
21329,54
21329,55
21329,56
21329,57
21329,58
21329,59
21329,60
21329,61
21329,62
21329,63
21329,64
21329,65
21329,66
21329,67
21329,68
21329,69
21329,70
21329,71
21329,72
21329,73
21329,74
21329,75
21329,76
21329,77
21329,78
21329,79
21329,80
21329,81
21329,82
21329,83
21329,84
21329,85
21329,86
21329,87
21329,88
21329,89
21329,90
21329,91
21329,92
21329,93
21329,94
21329,95
21329,96
21329,97
21329,98
21329,99
21329,100
21329,101
21329,102
21329,103
21329,104
21329,105
21329,106
21329,107
21329,108
21329,109
21329,110
21329,111
21329,112
21329,113
21329,114
21329,115
21329,116
21329,117
21329,118
21329,119
21329,120
21329,121
21329,122
21329,123
21329,124
21329,125
21329,126
21329,127
21329,128
21329,129
21329,130
21329,131
21338,19
21341,134
21344,20
21347,21
21347,23
21350,22
21353,24
21356,25
21359,26
21359,27
22118,18
22121,18
22124,18
22127,18
22130,18
22133,18
22136,18
22139,18
22142,18
22145,18
22148,18
22151,18
22154,18
22157,18
22160,18
22163,18
22166,18
22169,18
22172,18
22175,18
22178,18
22181,18
22184,18
22187,18
22190,18
22193,18
22196,18
22199,18
22202,18
22205,18
22208,18
22211,18
22214,18
22217,18
22220,18
22223,18
22226,18
22229,18
22232,18
22235,18
22238,18
22241,18
22244,18
22247,18
22250,18
22253,18
22256,18
22259,18
22262,18
22265,18
22268,18
22271,18
22274,18
22277,18
22280,18
22283,18
22286,18
22289,18
22292,18
22295,18
22298,18
22301,18
22304,18
22307,18
22310,18
22313,18
22316,18
22319,18
22322,18
22325,18
22328,18
22331,18
22334,18
22337,18
22340,18
22343,18
22346,18
22349,18
22352,18
22355,18
22358,18
22361,18
22364,18
22367,18
22370,18
22373,18
22376,18
22379,18
22382,18
22385,18
22388,18
22391,18
22394,18
22397,18
22400,18
22403,18
22406,18
22409,18
22412,18
22415,18
22418,18
22421,18
22424,18
22427,18
22430,18
22433,18
22436,18
22439,18
22442,18
22445,18
22448,18
22451,18
22454,18
22457,18
22460,18
22463,18
22466,18
22469,18
22472,18
22475,18
22478,18
22481,18
22484,18
22487,18
22490,18
22493,18
22496,18
22499,18
22502,18
22505,18
22508,18
22511,18
22514,18
22517,18
22520,18
22523,18
22526,18
22529,18
22532,18
22535,18
22538,18
22541,18
22544,18
22547,18
22550,18
22553,18
22556,18
22559,18
22562,18
22565,18
22568,18
22571,18
22574,18
22577,18
22580,18
22583,18
22586,18
22589,18
22592,18
22595,18
22598,18
22601,18
22604,18
22607,18
22610,18
22613,18
22616,18
22619,18
22622,18
22625,18
22628,18
22631,18
22634,18
22637,18
22640,18
22643,18
22646,18
22649,18
22652,18
22655,18
22658,18
22661,18
22664,18
22667,18
22670,18
22673,18
22676,18
22679,18
22682,18
22685,18
22688,18
22691,18
22694,18
22697,18
22700,18
22703,18
22706,18
22709,18
22712,18
22715,18
22727,21
22730,22
22733,25
22736,26
22739,19
22739,134
22742,20
22745,23
22748,24
22751,27
22754,21
22757,22
22760,25
22763,26
22766,19
22766,134
22769,20
22772,23
22775,24
22778,27
